,lat,lon
0,40.085055,-88.317027
1,40.095499,-88.326082
2,40.09006,-88.31745
3,40.082285,-88.314114
4,40.090966,-88.318689
5,40.084152,-88.323741
6,40.090917,-88.316339
7,40.084161,-88.319163
8,40.082629,-88.313838
9,40.089692,-88.314163
10,40.085589,-88.312018
11,40.095426,-88.322849
12,40.0909,-88.321669
13,40.087274,-88.312162
14,40.089072,-88.317139
15,40.089477,-88.319182
16,40.094641,-88.314122
17,40.094656,-88.325421
18,40.086689,-88.320012
19,40.082048,-88.310934
20,40.092871,-88.325407
21,40.092371,-88.315375
22,40.091592,-88.318025
23,40.08474,-88.322806
24,40.086136,-88.321848
25,40.087492,-88.324938
26,40.096399,-88.313097
27,40.088394,-88.314151
28,40.094185,-88.314222
29,40.095633,-88.324357
30,40.094129,-88.321257
31,40.096175,-88.318532
32,40.092755,-88.311427
33,40.0955,-88.326133
34,40.091727,-88.312182
35,40.091054,-88.320787
36,40.08655,-88.325564
37,40.089988,-88.325431
38,40.082202,-88.310934
39,40.095962,-88.320582
40,40.092036,-88.314791
41,40.085264,-88.315942
42,40.093418,-88.325398
43,40.090874,-88.318494
44,40.094512,-88.312649
45,40.096257,-88.320606
46,40.093441,-88.311963
47,40.08937,-88.325422
48,40.094103,-88.313401
49,40.096348,-88.315213
50,40.086261,-88.323019
