key,Distance,Time
"(1, 1)",0.0,0.0
"(1, 2)",689.11,8.269333333333334
"(1, 3)",1182.7,14.192333333333332
"(1, 4)",2100.55,25.206500000000002
"(1, 5)",1904.43,22.853
"(1, 6)",1982.06,23.784499999999998
"(1, 7)",149.29,1.7914999999999999
"(1, 8)",1478.49,17.741833333333332
"(1, 9)",2686.42,32.237
"(1, 10)",1125.34,13.504
"(1, 11)",2370.7,28.448333333333334
"(1, 12)",1327.73,15.932666666666668
"(1, 13)",211.14,2.533666666666667
"(1, 14)",2206.42,26.476999999999997
"(1, 15)",1017.2,12.206333333333333
"(1, 16)",2211.35,26.536166666666666
"(1, 17)",2046.53,24.558166666666665
"(1, 18)",2101.68,25.22
"(1, 19)",2308.43,27.701166666666666
"(1, 20)",68.72,0.8246666666666665
"(1, 21)",2509.08,30.108833333333333
"(1, 22)",2561.32,30.735666666666667
"(1, 23)",2571.11,30.853166666666667
"(1, 24)",1360.92,16.330833333333334
"(1, 25)",54.36,0.6523333333333333
"(1, 26)",1844.49,22.133666666666667
"(1, 27)",2369.87,28.438333333333333
"(1, 28)",487.97,5.855499999999999
"(1, 29)",2584.46,31.013499999999997
"(1, 30)",2729.72,32.7565
"(1, 31)",481.09,5.773
"(1, 32)",330.84,3.9699999999999998
"(1, 33)",790.86,9.490166666666665
"(1, 34)",1360.92,16.330833333333334
"(1, 35)",2361.82,28.341833333333334
"(1, 36)",1417.17,17.005833333333335
"(1, 37)",2323.31,27.879666666666665
"(1, 38)",2050.07,24.600833333333334
"(1, 39)",2575.11,30.901166666666665
"(1, 40)",1155.07,13.860833333333332
"(1, 41)",1879.74,22.556833333333334
"(1, 42)",1913.97,22.967499999999998
"(1, 43)",754.35,9.052166666666666
"(1, 44)",2412.38,28.9485
"(1, 45)",614.19,7.370166666666666
"(1, 46)",1265.22,15.182500000000001
"(1, 47)",1360.92,16.330833333333334
"(1, 48)",2247.66,26.971666666666664
"(1, 49)",2459.2,29.510166666666663
"(1, 50)",2499.49,29.993833333333335
"(2, 1)",689.11,8.269333333333334
"(2, 2)",0.0,0.0
"(2, 3)",1803.97,21.647499999999997
"(2, 4)",2721.81,32.66166666666667
"(2, 5)",2525.7,30.308166666666665
"(2, 6)",2603.33,31.23966666666667
"(2, 7)",770.56,9.246666666666666
"(2, 8)",2099.76,25.197
"(2, 9)",3307.69,39.69216666666667
"(2, 10)",1746.6,20.959166666666665
"(2, 11)",2991.97,35.9035
"(2, 12)",1949.0,23.387833333333333
"(2, 13)",832.41,9.988833333333334
"(2, 14)",2827.69,33.93216666666667
"(2, 15)",1638.47,19.6615
"(2, 16)",2832.62,33.99133333333333
"(2, 17)",2667.79,32.013333333333335
"(2, 18)",2722.95,32.67516666666667
"(2, 19)",2929.7,35.156333333333336
"(2, 20)",689.99,8.279833333333334
"(2, 21)",3130.35,37.564
"(2, 22)",3182.59,38.19083333333333
"(2, 23)",3192.37,38.30833333333333
"(2, 24)",1982.19,23.786
"(2, 25)",743.47,8.9215
"(2, 26)",2465.75,29.58883333333333
"(2, 27)",2991.14,35.8935
"(2, 28)",1109.24,13.310666666666666
"(2, 29)",3205.73,38.4685
"(2, 30)",3418.83,41.02583333333334
"(2, 31)",1102.35,13.228166666666667
"(2, 32)",358.27,4.299166666666666
"(2, 33)",101.75,1.221
"(2, 34)",1982.19,23.786
"(2, 35)",3050.93,36.61116666666667
"(2, 36)",2038.43,24.461166666666667
"(2, 37)",3012.42,36.149
"(2, 38)",2671.34,32.056
"(2, 39)",3264.22,39.1705
"(2, 40)",1776.34,21.316
"(2, 41)",2501.01,30.011833333333332
"(2, 42)",2535.23,30.422666666666665
"(2, 43)",65.24,0.7828333333333333
"(2, 44)",3033.65,36.403666666666666
"(2, 45)",74.92,0.8989999999999999
"(2, 46)",1886.48,22.637666666666668
"(2, 47)",1982.19,23.786
"(2, 48)",2868.92,34.426833333333335
"(2, 49)",3080.46,36.9655
"(2, 50)",3120.76,37.449
"(3, 1)",1182.7,14.192333333333332
"(3, 2)",1803.97,21.647499999999997
"(3, 3)",0.0,0.0
"(3, 4)",1458.18,17.49816666666667
"(3, 5)",721.73,8.660666666666666
"(3, 6)",799.36,9.592166666666666
"(3, 7)",1033.41,12.400833333333333
"(3, 8)",295.79,3.5495
"(3, 9)",2044.06,24.528666666666666
"(3, 10)",57.37,0.6883333333333332
"(3, 11)",1728.34,20.740000000000002
"(3, 12)",145.03,1.7403333333333333
"(3, 13)",971.56,11.658666666666667
"(3, 14)",1564.06,18.768666666666665
"(3, 15)",165.5,1.986
"(3, 16)",1030.38,12.3645
"(3, 17)",1404.16,16.849833333333333
"(3, 18)",1459.32,17.511666666666667
"(3, 19)",1127.47,13.529499999999999
"(3, 20)",1113.98,13.367666666666665
"(3, 21)",1328.11,15.937166666666666
"(3, 22)",1380.35,16.564166666666665
"(3, 23)",1390.14,16.6815
"(3, 24)",178.22,2.1386666666666665
"(3, 25)",1237.06,14.844499999999998
"(3, 26)",661.78,7.941333333333334
"(3, 27)",1188.91,14.266833333333333
"(3, 28)",694.73,8.336666666666666
"(3, 29)",1403.49,16.841833333333334
"(3, 30)",2240.38,26.8845
"(3, 31)",701.62,8.419333333333334
"(3, 32)",1445.7,17.348333333333336
"(3, 33)",1905.72,22.868499999999997
"(3, 34)",178.22,2.1386666666666665
"(3, 35)",1997.71,23.97233333333333
