,lat,lon
0,41.599137,-88.949628
1,41.599131,-88.950091
2,41.599163,-88.947744
3,41.608768,-88.943152
4,41.59913,-88.950163
5,41.605594,-88.943102
6,41.598211,-88.94139
7,41.606187,-88.943124
8,41.599143,-88.949192
9,41.613887,-88.936154
10,41.599119,-88.950974
11,41.613681,-88.95145
12,41.616213,-88.952741
13,41.59873,-88.942099
14,41.613703,-88.949048
15,41.615889,-88.952737
16,41.605417,-88.943095
17,41.613678,-88.951789
18,41.613737,-88.945938
19,41.599198,-88.945133
20,41.613688,-88.950702
21,41.599124,-88.950644
22,41.598475,-88.941751
23,41.606556,-88.943133
24,41.613634,-88.954746
25,41.60561,-88.943103
26,41.613874,-88.936796
27,41.613742,-88.945564
28,41.6093,-88.943156
29,41.599203,-88.944817
30,41.599558,-88.942877
31,41.605594,-88.943102
32,41.608576,-88.94315
33,41.605267,-88.94309
34,41.596927,-88.939639
35,41.613688,-88.950676
36,41.609611,-88.943159
37,41.599084,-88.953601
38,41.605044,-88.943081
39,41.607979,-88.943145
40,41.603374,-88.943019
41,41.599102,-88.952277
42,41.613869,-88.937036
43,41.608726,-88.943151
44,41.603336,-88.943017
45,41.599173,-88.947017
46,41.613831,-88.938924
47,41.602178,-88.942974
48,41.607436,-88.94314
49,41.599067,-88.954789
50,41.599183,-88.946285
