key,Distance,Time
"(1, 1)",0.0,0.0
"(1, 2)",2337.63,28.051499999999997
"(1, 3)",546.59,6.559
"(1, 4)",2016.73,24.200666666666667
"(1, 5)",2254.21,27.0505
"(1, 6)",1610.25,19.323
"(1, 7)",524.87,6.298500000000001
"(1, 8)",1278.13,15.3375
"(1, 9)",2196.39,26.35666666666667
"(1, 10)",1083.6,13.002999999999998
"(1, 11)",1296.58,15.558833333333332
"(1, 12)",1372.63,16.4715
"(1, 13)",1668.79,20.0255
"(1, 14)",1133.53,13.602333333333332
"(1, 15)",2065.48,24.785666666666668
"(1, 16)",1646.79,19.761333333333333
"(1, 17)",1538.57,18.462666666666667
"(1, 18)",1219.75,14.636833333333334
"(1, 19)",2295.15,27.541666666666668
"(1, 20)",2614.6,31.375
"(1, 21)",2352.13,28.22533333333333
"(1, 22)",1254.02,15.048166666666667
"(1, 23)",1096.15,13.153666666666666
"(1, 24)",1294.71,15.5365
"(1, 25)",2474.86,29.69816666666667
"(1, 26)",574.11,6.889166666666667
"(1, 27)",797.3,9.567499999999999
"(1, 28)",574.11,6.889166666666667
"(1, 29)",800.22,9.602666666666666
"(1, 30)",2361.42,28.337
"(1, 31)",739.63,8.875499999999999
"(1, 32)",2333.77,28.005166666666664
"(1, 33)",1315.32,15.783833333333332
"(1, 34)",1262.51,15.150166666666665
"(1, 35)",495.83,5.95
"(1, 36)",1168.96,14.0275
"(1, 37)",1369.85,16.438166666666667
"(1, 38)",1626.73,19.520666666666667
"(1, 39)",1823.83,21.885833333333334
"(1, 40)",2474.86,29.69816666666667
"(1, 41)",1464.48,17.573666666666668
"(1, 42)",1309.22,15.7105
"(1, 43)",2570.0,30.84
"(1, 44)",2474.86,29.69816666666667
"(1, 45)",1582.96,18.9955
"(1, 46)",1988.13,23.8575
"(1, 47)",999.82,11.997666666666667
"(1, 48)",1257.27,15.087166666666667
"(1, 49)",2203.63,26.443499999999997
"(1, 50)",1820.49,21.84583333333333
"(2, 1)",2337.63,28.051499999999997
"(2, 2)",0.0,0.0
"(2, 3)",2321.03,27.852333333333334
"(2, 4)",681.44,8.177166666666666
"(2, 5)",918.92,11.027
"(2, 6)",2201.59,26.419
"(2, 7)",1812.78,21.753333333333334
"(2, 8)",900.81,10.809666666666667
"(2, 9)",861.1,10.333166666666667
"(2, 10)",1254.06,15.048666666666666
"(2, 11)",882.36,10.588333333333333
"(2, 12)",1963.97,23.5675
"(2, 13)",2032.81,24.393666666666665
"(2, 14)",1724.87,20.698333333333334
"(2, 15)",730.19,8.762166666666667
"(2, 16)",882.35,10.588166666666666
"(2, 17)",1123.47,13.481666666666666
"(2, 18)",1117.91,13.414833333333332
"(2, 19)",42.49,0.5098333333333334
"(2, 20)",4049.98,48.599666666666664
"(2, 21)",1016.83,12.202
"(2, 22)",1845.36,22.144333333333336
"(2, 23)",1687.49,20.249833333333335
"(2, 24)",884.23,10.610666666666667
"(2, 25)",1411.39,16.936666666666667
"(2, 26)",1760.98,21.131666666666668
"(2, 27)",1540.33,18.483999999999998
"(2, 28)",1760.98,21.131666666666668
"(2, 29)",1537.41,18.448833333333333
"(2, 30)",1297.95,15.575333333333333
"(2, 31)",1598.0,19.176
"(2, 32)",1270.3,15.2435
"(2, 33)",863.62,10.363333333333333
"(2, 34)",916.43,10.997
"(2, 35)",1841.82,22.10183333333333
"(2, 36)",1168.69,14.024166666666668
"(2, 37)",1961.19,23.534166666666664
"(2, 38)",1211.64,14.5395
"(2, 39)",4160.25,49.92283333333333
"(2, 40)",1411.39,16.936666666666667
"(2, 41)",2055.82,24.669666666666668
