,id,lat,lon,altMeters,nodeName,nodeType,leafletIconPrefix,leafletIconType,leafletColor,leafletIconText,cesiumIconType,cesiumColor,cesiumIconText
0,0,37.539486,-88.882515,0,,depot,glyphicon,home,red,0,pin,Cesium.Color.BLUE,0
1,1,37.541369,-88.872524,0,,customer,glyphicon,star,blue,1,pin,Cesium.Color.BLUE,1
2,2,37.535667,-88.88589,0,,customer,glyphicon,star,blue,2,pin,Cesium.Color.BLUE,2
3,3,37.541806,-88.869883,0,,customer,glyphicon,star,blue,3,pin,Cesium.Color.BLUE,3
4,4,37.52914,-88.865279,0,,customer,glyphicon,star,blue,4,pin,Cesium.Color.BLUE,4
5,5,37.531289,-88.881151,0,,customer,glyphicon,star,blue,5,pin,Cesium.Color.BLUE,5
6,6,37.539627,-88.880476,0,,customer,glyphicon,star,blue,6,pin,Cesium.Color.BLUE,6
7,7,37.540918,-88.87625,0,,customer,glyphicon,star,blue,7,pin,Cesium.Color.BLUE,7
8,8,37.546765,-88.882626,0,,customer,glyphicon,star,blue,8,pin,Cesium.Color.BLUE,8
9,9,37.539869,-88.879155,0,,customer,glyphicon,star,blue,9,pin,Cesium.Color.BLUE,9
10,10,37.534449,-88.865266,0,,customer,glyphicon,star,blue,10,pin,Cesium.Color.BLUE,10
11,11,37.545469,-88.879151,0,,customer,glyphicon,star,blue,11,pin,Cesium.Color.BLUE,11
12,12,37.529003,-88.884178,0,,customer,glyphicon,star,blue,12,pin,Cesium.Color.BLUE,12
13,13,37.532948,-88.865269,0,,customer,glyphicon,star,blue,13,pin,Cesium.Color.BLUE,13
14,14,37.529801,-88.880671,0,,customer,glyphicon,star,blue,14,pin,Cesium.Color.BLUE,14
15,15,37.541371,-88.869089,0,,customer,glyphicon,star,blue,15,pin,Cesium.Color.BLUE,15
16,16,37.530249,-88.86528,0,,customer,glyphicon,star,blue,16,pin,Cesium.Color.BLUE,16
17,17,37.52546,-88.863052,0,,customer,glyphicon,star,blue,17,pin,Cesium.Color.BLUE,17
18,18,37.542782,-88.865144,0,,customer,glyphicon,star,blue,18,pin,Cesium.Color.BLUE,18
19,19,37.539701,-88.879941,0,,customer,glyphicon,star,blue,19,pin,Cesium.Color.BLUE,19
20,20,37.544132,-88.877323,0,,customer,glyphicon,star,blue,20,pin,Cesium.Color.BLUE,20
21,21,37.525392,-88.882458,0,,customer,glyphicon,star,blue,21,pin,Cesium.Color.BLUE,21
22,22,37.541397,-88.862953,0,,customer,glyphicon,star,blue,22,pin,Cesium.Color.BLUE,22
23,23,37.546765,-88.882626,0,,customer,glyphicon,star,blue,23,pin,Cesium.Color.BLUE,23
24,24,37.544172,-88.877562,0,,customer,glyphicon,star,blue,24,pin,Cesium.Color.BLUE,24
25,25,37.529887,-88.884065,0,,customer,glyphicon,star,blue,25,pin,Cesium.Color.BLUE,25
26,26,37.535563,-88.885599,0,,customer,glyphicon,star,blue,26,pin,Cesium.Color.BLUE,26
27,27,37.525338,-88.882233,0,,customer,glyphicon,star,blue,27,pin,Cesium.Color.BLUE,27
28,28,37.523176,-88.879587,0,,customer,glyphicon,star,blue,28,pin,Cesium.Color.BLUE,28
29,29,37.529801,-88.880671,0,,customer,glyphicon,star,blue,29,pin,Cesium.Color.BLUE,29
30,30,37.526221,-88.883992,0,,customer,glyphicon,star,blue,30,pin,Cesium.Color.BLUE,30
31,31,37.531568,-88.8812,0,,customer,glyphicon,star,blue,31,pin,Cesium.Color.BLUE,31
32,32,37.533868,-88.865265,0,,customer,glyphicon,star,blue,32,pin,Cesium.Color.BLUE,32
33,33,37.541369,-88.872439,0,,customer,glyphicon,star,blue,33,pin,Cesium.Color.BLUE,33
34,34,37.528026,-88.865266,0,,customer,glyphicon,star,blue,34,pin,Cesium.Color.BLUE,34
35,35,37.541369,-88.871398,0,,customer,glyphicon,star,blue,35,pin,Cesium.Color.BLUE,35
36,36,37.541369,-88.873173,0,,customer,glyphicon,star,blue,36,pin,Cesium.Color.BLUE,36
37,37,37.523877,-88.864318,0,,customer,glyphicon,star,blue,37,pin,Cesium.Color.BLUE,37
38,38,37.529457,-88.865283,0,,customer,glyphicon,star,blue,38,pin,Cesium.Color.BLUE,38
39,39,37.536359,-88.865232,0,,customer,glyphicon,star,blue,39,pin,Cesium.Color.BLUE,39
40,40,37.541395,-88.863275,0,,customer,glyphicon,star,blue,40,pin,Cesium.Color.BLUE,40
41,41,37.546711,-88.881759,0,,customer,glyphicon,star,blue,41,pin,Cesium.Color.BLUE,41
42,42,37.546765,-88.882626,0,,customer,glyphicon,star,blue,42,pin,Cesium.Color.BLUE,42
43,43,37.53199,-88.881597,0,,customer,glyphicon,star,blue,43,pin,Cesium.Color.BLUE,43
44,44,37.53156,-88.865275,0,,customer,glyphicon,star,blue,44,pin,Cesium.Color.BLUE,44
45,45,37.525413,-88.882563,0,,customer,glyphicon,star,blue,45,pin,Cesium.Color.BLUE,45
46,46,37.535814,-88.865246,0,,customer,glyphicon,star,blue,46,pin,Cesium.Color.BLUE,46
47,47,37.529078,-88.865279,0,,customer,glyphicon,star,blue,47,pin,Cesium.Color.BLUE,47
48,48,37.539265,-88.886116,0,,customer,glyphicon,star,blue,48,pin,Cesium.Color.BLUE,48
49,49,37.54407,-88.869767,0,,customer,glyphicon,star,blue,49,pin,Cesium.Color.BLUE,49
50,50,37.545412,-88.879101,0,,customer,glyphicon,star,blue,50,pin,Cesium.Color.BLUE,50
