,lat,lon
0,41.611335,-87.841481
1,41.611406,-87.846274
2,41.605663,-87.844977
3,41.604943,-87.83967
4,41.605219,-87.840378
5,41.60935,-87.84089
6,41.609609,-87.840275
7,41.610736,-87.843939
8,41.609331,-87.842425
9,41.607554,-87.845176
10,41.611183,-87.84035
11,41.60812,-87.847046
12,41.607203,-87.844174
13,41.611057,-87.842616
14,41.607524,-87.84381
15,41.6111,-87.845132
16,41.604232,-87.840445
17,41.610399,-87.845107
18,41.604978,-87.841985
19,41.611353,-87.841177
20,41.608272,-87.84273
21,41.610572,-87.846238
22,41.608889,-87.847716
23,41.604259,-87.844997
24,41.611155,-87.84257
25,41.604881,-87.845597
26,41.607924,-87.84541
27,41.60847,-87.84094
28,41.606745,-87.84145
29,41.606857,-87.840115
30,41.607861,-87.847036
31,41.605239,-87.842614
32,41.608262,-87.847051
33,41.610502,-87.840307
34,41.606788,-87.845048
35,41.60721,-87.844046
36,41.607254,-87.844612
37,41.604994,-87.842875
38,41.609177,-87.843747
39,41.605804,-87.841623
40,41.606492,-87.84402
41,41.604646,-87.84127
42,41.607603,-87.847531
43,41.610311,-87.846227
44,41.610541,-87.84145
45,41.608468,-87.841047
46,41.607796,-87.847034
47,41.608446,-87.842247
48,41.609622,-87.846964
49,41.610675,-87.841455
50,41.607964,-87.840033
