,lat,lon
0,39.84705,-91.241676
1,39.853263,-91.245017
2,39.837588,-91.242
3,39.851027,-91.233342
4,39.848251,-91.233374
5,39.854444,-91.233297
6,39.845845,-91.233091
7,39.853278,-91.245824
8,39.845836,-91.232377
9,39.841958,-91.241722
10,39.837348,-91.2319
11,39.845837,-91.232443
12,39.845777,-91.227898
13,39.83749,-91.236583
14,39.845912,-91.237013
15,39.845765,-91.227012
16,39.838533,-91.22716
17,39.854993,-91.233287
18,39.854562,-91.233295
19,39.842847,-91.241718
20,39.845844,-91.233044
21,39.837588,-91.245961
22,39.837421,-91.234258
23,39.84896,-91.233364
24,39.845973,-91.239718
25,39.837555,-91.239018
26,39.845795,-91.22933
27,39.837508,-91.23724
28,39.839787,-91.227214
29,39.837314,-91.230597
30,39.845761,-91.226654
31,39.846269,-91.243537
32,39.845989,-91.240812
33,39.84705,-91.241676
34,39.853276,-91.245686
35,39.842485,-91.24172
36,39.845755,-91.226208
37,39.837247,-91.227258
38,39.852611,-91.233329
39,39.837576,-91.240741
40,39.845955,-91.238954
41,39.853258,-91.244715
42,39.837397,-91.233487
43,39.845911,-91.236979
44,39.837334,-91.231476
45,39.839087,-91.227184
46,39.853284,-91.243587
47,39.845811,-91.230424
48,39.837549,-91.238764
49,39.837557,-91.239128
50,39.85118,-91.233342
