,lat,lon
0,37.389809,-89.011647
1,37.371877,-89.011909
2,37.371356,-89.017173
3,37.388568,-89.006019
4,37.391882,-89.011649
5,37.392208,-89.011649
6,37.389284,-89.00496
7,37.37987,-89.016325
8,37.380397,-89.011727
9,37.386372,-89.020807
10,37.389707,-89.007331
11,37.387854,-89.011665
12,37.39155,-89.001608
13,37.380949,-89.020836
14,37.378679,-89.002102
15,37.374138,-89.016892
16,37.39061,-89.002994
17,37.372894,-89.020864
18,37.376189,-89.020848
19,37.372056,-89.011659
20,37.394783,-89.011649
21,37.393455,-89.011635
22,37.391083,-89.002297
23,37.391946,-89.011649
24,37.377431,-89.002703
25,37.375967,-89.020847
26,37.37347,-89.008413
27,37.373162,-89.008522
28,37.388205,-89.006556
29,37.384188,-89.020798
30,37.375592,-89.020847
31,37.386614,-89.008909
32,37.388606,-89.011655
33,37.391444,-89.001764
34,37.374262,-89.020846
35,37.372214,-89.011189
36,37.378641,-89.002405
37,37.38941,-89.011647
38,37.378373,-89.00927
39,37.377348,-89.002848
40,37.373282,-89.016978
41,37.375313,-89.020847
42,37.388817,-89.005652
43,37.370289,-89.017279
44,37.372536,-89.009994
45,37.394603,-89.011646
46,37.370762,-89.022566
47,37.389707,-89.007331
48,37.376177,-89.016685
49,37.389779,-89.011647
50,37.376685,-89.020848
