,lat,lon
0,39.345199,-88.383856
1,39.342755,-88.397064
2,39.357705,-88.381518
3,39.351005,-88.378528
4,39.356925,-88.378476
5,39.347893,-88.378541
6,39.350673,-88.37853
7,39.351093,-88.378528
8,39.359731,-88.392682
9,39.354456,-88.378497
10,39.352323,-88.373856
11,39.350356,-88.394192
12,39.359729,-88.38722
13,39.35462,-88.38684
14,39.339529,-88.397041
15,39.345202,-88.384513
16,39.345219,-88.388291
17,39.348157,-88.39796
18,39.345232,-88.390318
19,39.359706,-88.382373
20,39.35625,-88.378487
21,39.349217,-88.396145
22,39.359727,-88.387824
23,39.359728,-88.387593
24,39.33989,-88.397051
25,39.359702,-88.381301
26,39.358362,-88.380386
27,39.359745,-88.396561
28,39.359702,-88.381257
29,39.340694,-88.378516
30,39.355053,-88.386093
31,39.361683,-88.378449
32,39.350705,-88.393592
33,39.34052,-88.397044
34,39.359712,-88.383861
35,39.359742,-88.396074
36,39.356739,-88.383185
37,39.35974,-88.395655
38,39.359726,-88.39145
39,39.359722,-88.386328
40,39.363459,-88.37845
41,39.359733,-88.393536
42,39.359747,-88.399678
43,39.359748,-88.399146
44,39.361533,-88.379105
45,39.359719,-88.385854
46,39.359726,-88.388147
47,39.345235,-88.39128
48,39.362469,-88.377032
49,39.359725,-88.388807
50,39.345211,-88.387045
