,lat,lon
0,42.233034,-89.079689
1,42.230297,-89.073085
2,42.236993,-89.073471
3,42.229276,-89.073436
4,42.234214,-89.078246
5,42.237879,-89.077498
6,42.234756,-89.072254
7,42.23326,-89.075281
8,42.241149,-89.082761
9,42.22944,-89.074626
10,42.240371,-89.079164
11,42.240178,-89.081448
12,42.229297,-89.075865
13,42.237829,-89.082808
14,42.23186,-89.079686
15,42.229661,-89.071759
16,42.233494,-89.078447
17,42.234371,-89.079605
18,42.22967,-89.073436
19,42.24084,-89.077113
20,42.231726,-89.073457
21,42.230731,-89.078405
22,42.23791,-89.07504
23,42.237864,-89.079001
24,42.237857,-89.079804
25,42.236325,-89.071005
26,42.233332,-89.078443
27,42.23783,-89.082732
28,42.230298,-89.072607
29,42.232564,-89.071617
30,42.233653,-89.076504
31,42.235852,-89.072874
32,42.237873,-89.07809
33,42.231645,-89.070404
34,42.236316,-89.074066
35,42.240615,-89.074699
36,42.237843,-89.081303
37,42.234851,-89.071627
38,42.237838,-89.081822
39,42.237859,-89.079544
40,42.240369,-89.079283
41,42.240677,-89.079084
42,42.237843,-89.08127
43,42.237194,-89.074678
44,42.232435,-89.079695
45,42.232043,-89.075871
46,42.241007,-89.076842
47,42.240609,-89.075644
48,42.240686,-89.079084
49,42.229462,-89.072207
50,42.240586,-89.079089
